Key;Type;Desc;English;Vietnamese [vi]
Audio/AmbienceVolume;Text;;Ambience Volume;Âm Lượng Môi Trường
Audio/MasterVolume;Text;;Master Volume;Âm Lượng Tổng
Audio/MusicRate/1;Text;;None;Không
Audio/MusicRate/2;Text;;Short;Ngắn
Audio/MusicRate/3;Text;;Medium;Vừa
Audio/MusicRate/4;Text;;Long;Dài
Audio/MusicRate/5;Text;;Max;Hết Cỡ
Audio/MusicRate/Title;Text;;Time between music tracks;Thời gian giữa các bản nhạc
Audio/MusicVolume;Text;;Music Volume;Âm Lượng Nhạc
Audio/NotebookVolume;Text;;Notebook Volume;Âm Lượng Sổ Tay
Audio/SFXVolume;Text;;SFX Volume;Âm Lượng Hiệu Ứng
Audio/UIVolume;Text;;UI Volume;Âm Lượng UI
Battery/Empty;Text;;Battery empty;Không có Pin
Battery/Required;Text;;Battery required;Cần có Pin
Blcok/Shelf_Wood;Text;;Wooden shelf@;Kệ gỗ@
Block/Anchor_Stationary;Text;;Stationary anchor@Lets you anchor your raft.;Mỏ neo cố định@Dùng để neo bè của bạn.
Block/Anchor_Stationary_Advanced;Text;;Advanced stationary anchor@Works remotely with the engine controls.;Mỏ neo xịn@Điều khiển từ xa với bộ điều khiển động cơ.
Block/Anchor_Stationary_Remote;Text;;Remote stationary anchor@Works remotely with the engine controls.;Mỏ neo đièu khiển từ xa@Điều khiển từ xa với bộ điều khiển động cơ.
Block/Anchor_Throwable;Text;;Throwable anchor@Lets you anchor your raft. Can only be used once.;Mỏ neo cùi bắp@Dùng để neo bè. Chỉ có thể xài một lần.
Block/Antenna;Text;;Antenna@Used along with the receiver.;Ăng-ten@Dùng với máy dò tín hiệu.
Block/Bathtub;Text;;Wooden bathtub@A no splinter guarantee!;Bồn tắm@Đảm bảo không sợ vỡ!
Block/BatteryCharger;Text;;Battery charger@Can be connected with fuel pipes!;Máy Sạc pin@Có thể được kết nối với ống dẫn nhiên liệu!
Block/Bed;Text;;Bed@Lets you sleep through the night and can be used to revive incapacitated friends. Respawning in a bed provides you with even more health than a simple bed.;Giường@Cho phép bạn ngủ qua đêm và có thể được sử dụng để hồi sinh những người bạn đã hẹo. Hồi sinh trên giường xịn giúp bạn mau khoẻ hơn.
Block/Bed_Hammock;Text;;Hammock@Lets you sleep through the night and can be used to revive incapacitated friends. Respawning in a hammock provides you with even more health than a simple bed.;Võng@Cho phép bạn ngủ qua đêm và có thể được sử dụng để hồi sinh những người bạn đã hẹo. Hồi sinh trên võng sẽ tăng nhiều máu cho bạn hơn.
Block/Bed_Simple;Text;;Simple bed@Lets you sleep through the night and can be used to revive incapacitated friends. Respawning in a bed also provides you with more health.;Lán@Cho phép bạn ngủ qua đêm và có thể được sử dụng để hồi sinh những người bạn đã hẹo.
Block/Beehive;Text;;Beehive@If you care for the bees they will yield you honeycombs.;Tổ ong@Nếu bạn đủ quan tâm đến chúng, bạn sẽ nhận được phần thưởng xứng đáng.
Block/BiofuelExtractor;Text;;Biofuel refiner@Mixes raw food and honey to create biofuel.;Máy lọc nhiên liệu@Trộn thức ăn thô và mật ong để tạo ra nhiên liệu sinh học.
Block/BiofuelExtractor_Advanced;Text;;Advanced biofuel refiner@Mixes raw food and honey to create biofuel.;Máy lọc nhiên liệu xịn@Trộn thức ăn thô và mật ong để tạo ra nhiên liệu sinh học. Xịn hơn cái kia
Block/BirdsNest;Text;;Birds nest@A place for seagulls to rest. Be sure to keep your distance as birds are easily scared.;Tổ chim@Là nơi cho những chú mòng biển đến làm tổ. Hãy giữ khoảng cách với chúng vì chúng rất sợ người.
Block/BlanketBasket;Text;;Blanket basket@Perfect when if it gets a bit chilly.;Giỏ đựng chăn@Hoàn hảo cho khí trời se lạnh.
Block/Bookpile;Text;;Bookpile@A pile of old books.;Đống sách@Một đống sách cũ kỹ.
Block/Brick_Wet;Text;;Wet brick@Can be placed on your raft to dry.;Gạch bị ướt@Có thể đem phơi khô.
Block/CandleBottle;Text;;Candle Bottle@Not a very bright light, but a pretty one.;Nến chai@Không sáng lắm, nhưng trông cũng đẹp.
Block/Candlestick;Text;;Candlestick@For a candle lit dinner.;Chân nến@Dành cho những bữa tối lãng mạn
Block/Chair;Text;;Chair@Nice for sitting. Goes well with a table.;Ghế@Dùng để ngồi. Hợp với mấy cái bàn nữa.
Block/Clock;Text;;Clock@Shows the time.;Đồng hồ@Hiển thị thời gian.
Block/CollectionNet;Text;;Advanced collection net@Automatically catches items that float into it. Can contain more items than a simple collection net.;Lưới gom rác xịn@Tự động gom các vật phẩm nổi trên biển. Có thể chứa nhiều đồ hơn một lưới thu gom cơ bản.
Block/CollectionNet_Simple;Text;;Simple collection net@Automatically catches items that float into it.;Lưới gom rác@Tự động gom các vật phẩm nổi trên biển.
Block/CookingPot;Text;;Cookingpot@Combines base food into amazing meals.;Nồi nấu lẩu@Kết hợp các loại nguyên liệu để nấu ra 1 món ăn ờ-mây-zing gút chóp.
Block/CookingStand_Food_Electric;Text;;Electric grill@Can cook a lot of food at once. Uses battery as fuel.;Bếp nướng điện@Có thể nấu nhiều loại thức ăn cùng lúc. Sử dụng pin làm nhiên liệu.
Block/CookingStand_Food_One;Text;;Simple grill@Can cook a piece of food. Uses planks as fuel.;Bếp nướng@Dùng để nướng vài loại thức ăn. Sử dụng ván gỗ làm nhiên liệu.
Block/CookingStand_Food_Two;Text;;Advanced grill@Can cook several pieces of food at once. Uses planks as fuel.;Bếp nướng xịn@Có thể nấu nhiều món ăn cùng lúc. Sử dụng ván gỗ làm nhiên liệu.
Block/CookingStand_Purifier_One;Text;;Simple purifier@Can purify one cup of saltwater into freshwater. Uses planks as fuel.;Máy lọc nước@Có thể lọc 1 cốc nước biển thành nước ngọt. Sử dụng ván gỗ làm nhiên liệu.
